C_Name,Perc_districts_DTP_DSO
Afghanistan,0
Angola,0
Armenia,26.09
Azerbaijan,0
Bangladesh,0
Benin,0
Bhutan,13.13
Bolivia,0
Burkina Faso,0.63
Burundi,1.48
Cambodia,0
Cameroon,1.88
Central African Republic,12.5
Chad,2.14
Comoros,0
Congo,13.6
C̫te d'Ivoire,11.46
Cuba,50.07
Democratic People's Republic of Korea,0
Democratic Republic of the Congo,21.49
Djibouti,0
Eritrea,0
Ethiopia,0
Gambia,0
Georgia,17.18
Ghana,0
Guinea,1.64
Guinea-Bissau,0
Guyana,0
Haiti,0
Honduras,2.25
India,0
Indonesia,0
Kenya,4.06
Kiribati,18.18
Kyrgyzstan,0
Lao People's Democratic Republic,0
Lesotho,9.43
Liberia,0
Madagascar,0
Malawi,0
Mali,0
Mauritania,12.5
Mongolia,0
Mozambique,0.26
Myanmar,0.04
Nepal,0
Nicaragua,12.42
Niger,0
Nigeria,3.88
Pakistan,12.19
Papua New Guinea,0.42
Republic of Moldova,1.71
Rwanda,0.8
Sao Tome and Principe,0
Senegal,0
Sierra Leone,0
Solomon Islands,0
Somalia,16.07
Sri Lanka,0
Sudan (North),0.28
Tajikistan,14.22
Tanzania,4.58
Timor-Leste,0
Togo,11.43
Uganda,42.6
Ukraine,0
Uzbekistan,33.25
Viet Nam,25.4
Yemen,0
Zambia,0
Zimbabwe,2.63